theta_deg    D(разы)        D(дБ)
 48.4685  7.465728e-01   -1.2693
 48.6487  7.518573e-01   -1.2386
 48.8289  7.571516e-01   -1.2082
 49.0090  7.624553e-01   -1.1779
 49.1892  7.677682e-01   -1.1477
 49.3694  7.730901e-01   -1.1177
 49.5496  7.784209e-01   -1.0879
 49.7298  7.837602e-01   -1.0582
 49.9099  7.891078e-01   -1.0286
 50.0901  7.944636e-01   -0.9993
 50.2703  7.998272e-01   -0.9700
 50.4505  8.051985e-01   -0.9410
 50.6307  8.105772e-01   -0.9121
 50.8108  8.159630e-01   -0.8833
 50.9910  8.213558e-01   -0.8547
 51.1712  8.267553e-01   -0.8262
 51.3514  8.321612e-01   -0.7979
 51.5316  8.375733e-01   -0.7698
 51.7117  8.429913e-01   -0.7418
 51.8919  8.484150e-01   -0.7139
 52.0721  8.538441e-01   -0.6862
 52.2523  8.592785e-01   -0.6587
 52.4325  8.647177e-01   -0.6313
 52.6126  8.701617e-01   -0.6040
 52.7928  8.756100e-01   -0.5769
 52.9730  8.810625e-01   -0.5499
 53.1532  8.865189e-01   -0.5231
 53.3334  8.919788e-01   -0.4965
 53.5135  8.974422e-01   -0.4699
 53.6937  9.029086e-01   -0.4436
 53.8739  9.083778e-01   -0.4173
 54.0541  9.138495e-01   -0.3913
 54.2343  9.193235e-01   -0.3653
 54.4144  9.247995e-01   -0.3395
 54.5946  9.302772e-01   -0.3139
 54.7748  9.357563e-01   -0.2884
 54.9550  9.412365e-01   -0.2630
 55.1352  9.467176e-01   -0.2378
 55.3153  9.521993e-01   -0.2127
 55.4955  9.576812e-01   -0.1878
 55.6757  9.631632e-01   -0.1630
 55.8559  9.686448e-01   -0.1384
 56.0361  9.741259e-01   -0.1138
 56.2162  9.796060e-01   -0.0895
 56.3964  9.850850e-01   -0.0653
 56.5766  9.905625e-01   -0.0412
 56.7568  9.960382e-01   -0.0172
 56.9370  1.001512e+00    0.0066
 57.1171  1.006983e+00    0.0302
 57.2973  1.012452e+00    0.0537
 57.4775  1.017917e+00    0.0771
 57.6577  1.023380e+00    0.1004
 57.8379  1.028838e+00    0.1235
 58.0180  1.034293e+00    0.1464
 58.1982  1.039744e+00    0.1693
 58.3784  1.045190e+00    0.1920
 58.5586  1.050631e+00    0.2145
 58.7388  1.056067e+00    0.2369
 58.9189  1.061498e+00    0.2592
 59.0991  1.066923e+00    0.2813
 59.2793  1.072341e+00    0.3033
 59.4595  1.077754e+00    0.3252
 59.6397  1.083159e+00    0.3469
 59.8198  1.088558e+00    0.3685
 60.0000  1.093949e+00    0.3900
 60.1802  1.099332e+00    0.4113
 60.3604  1.104708e+00    0.4325
 60.5406  1.110075e+00    0.4535
 60.7207  1.115433e+00    0.4744
 60.9009  1.120782e+00    0.4952
 61.0811  1.126122e+00    0.5159
 61.2613  1.131453e+00    0.5364
 61.4415  1.136773e+00    0.5567
 61.6216  1.142083e+00    0.5770
 61.8018  1.147382e+00    0.5971
 61.9820  1.152671e+00    0.6171
 62.1622  1.157948e+00    0.6369
 62.3424  1.163213e+00    0.6566
 62.5225  1.168466e+00    0.6762
 62.7027  1.173708e+00    0.6956
 62.8829  1.178936e+00    0.7149
 63.0631  1.184151e+00    0.7341
 63.2433  1.189353e+00    0.7531
 63.4234  1.194542e+00    0.7720
 63.6036  1.199716e+00    0.7908
 63.7838  1.204876e+00    0.8094
 63.9640  1.210022e+00    0.8279
 64.1442  1.215152e+00    0.8463
 64.3243  1.220267e+00    0.8645
 64.5045  1.225367e+00    0.8827
 64.6847  1.230450e+00    0.9006
 64.8649  1.235517e+00    0.9185
 65.0451  1.240567e+00    0.9362
 65.2252  1.245600e+00    0.9538
 65.4054  1.250616e+00    0.9712
 65.5856  1.255614e+00    0.9886
 65.7658  1.260594e+00    1.0058
 65.9460  1.265556e+00    1.0228
 66.1261  1.270499e+00    1.0397
 66.3063  1.275423e+00    1.0565
 66.4865  1.280327e+00    1.0732
 66.6667  1.285211e+00    1.0897
 66.8469  1.290076e+00    1.1062
 67.0270  1.294920e+00    1.1224
 67.2072  1.299743e+00    1.1386
 67.3874  1.304546e+00    1.1546
 67.5676  1.309326e+00    1.1705
 67.7478  1.314085e+00    1.1862
 67.9279  1.318822e+00    1.2019
 68.1081  1.323536e+00    1.2174
 68.2883  1.328228e+00    1.2327
 68.4685  1.332896e+00    1.2480
 68.6487  1.337541e+00    1.2631
 68.8288  1.342162e+00    1.2781
